N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000045,0.000002,0.000001,0.000037
8,0.000095,0.000005,0.000001,0.000079
10,0.000047,0.000002,0.000001,0.00004
12,0.000047,0.000002,0.000001,0.000039
16,0.000053,0.000003,0.000001,0.000045
20,0.000052,0.000003,0.000001,0.000043
24,0.000055,0.000004,0.000001,0.000045
32,0.000055,0.000005,0.000002,0.000044
40,0.00006,0.000006,0.000002,0.000047
48,0.000064,0.000006,0.000004,0.000048
64,0.000078,0.000008,0.000007,0.000057
80,0.000085,0.00001,0.000009,0.000058
96,0.000094,0.000012,0.000014,0.000062
128,0.000116,0.000015,0.000023,0.00007
160,0.000146,0.000018,0.000036,0.000083
192,0.000169,0.000022,0.000052,0.000086
256,0.000243,0.000029,0.000089,0.000114
320,0.000343,0.000036,0.000142,0.000127
384,0.00043,0.000043,0.000202,0.000148
512,0.000733,0.000057,0.000362,0.000273
640,0.001008,0.000072,0.000561,0.000331
768,0.001315,0.000086,0.000809,0.000373
1024,0.002068,0.000114,0.001428,0.000472
1280,0.00303,0.000143,0.002235,0.000591
1536,0.004148,0.00017,0.003215,0.000694
2048,0.006998,0.000226,0.005713,0.000979
2560,0.010492,0.000282,0.008903,0.001211
3072,0.014786,0.000338,0.012781,0.001466
4096,0.025537,0.00045,0.02284,0.002026
5120,0.038886,0.000562,0.035501,0.002582
6144,0.055518,0.000675,0.051257,0.003281
8192,0.096977,0.000899,0.090969,0.004782
10240,0.149743,0.001122,0.142079,0.006128
12288,0.213592,0.001351,0.204135,0.007653
16384,0.377756,0.001797,0.364391,0.010956
20480,0.585613,0.002253,0.568005,0.014667
24576,0.840549,0.002699,0.81875,0.018243
32768,1.487234,0.003599,1.454541,0.027984
40960,2.317406,0.004512,2.274423,0.037124
