N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000639,0.000002,0,0.000601
8,0.000682,0.000005,0,0.000618
10,0.00062,0.000003,0,0.000581
12,0.000651,0.000003,0,0.000614
16,0.000638,0.000003,0.000001,0.000602
20,0.000631,0.000003,0.000001,0.000592
24,0.000629,0.000004,0.000001,0.000586
32,0.000651,0.000005,0.000002,0.0006
40,0.000646,0.000005,0.000002,0.000593
48,0.000647,0.000007,0.000003,0.000594
64,0.000664,0.000008,0.000004,0.000608
80,0.000689,0.00001,0.000006,0.000629
96,0.000683,0.000012,0.000009,0.000617
128,0.000699,0.000015,0.000016,0.000621
160,0.000731,0.000018,0.000024,0.000641
192,0.000739,0.000022,0.000034,0.000634
256,0.000825,0.000029,0.00006,0.000685
320,0.000911,0.000036,0.000091,0.000731
384,0.001031,0.000043,0.000131,0.00078
512,0.001304,0.000057,0.000232,0.00093
640,0.001615,0.000071,0.000358,0.001101
768,0.001972,0.000086,0.000514,0.001282
1024,0.002869,0.000114,0.000909,0.001749
1280,0.00404,0.000142,0.001438,0.002358
1536,0.005422,0.000169,0.002058,0.003084
2048,0.008905,0.000226,0.003664,0.00487
2560,0.013285,0.000279,0.005725,0.007108
3072,0.018621,0.000337,0.008226,0.009845
4096,0.031793,0.000446,0.014628,0.016471
5120,0.048654,0.000557,0.022793,0.02501
6144,0.069182,0.00067,0.032841,0.035308
8192,0.121048,0.000891,0.058349,0.061377
10240,0.187065,0.001113,0.090599,0.094836
12288,0.268489,0.001347,0.130993,0.135564
16384,0.473672,0.001783,0.232491,0.238639
20480,0.740161,0.002229,0.362991,0.374084
24576,1.061135,0.002676,0.52865,0.528771
32768,1.881017,0.003593,0.930629,0.945507
40960,2.932268,0.004455,1.462478,1.463372
