N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000024,0.000003,0.000001,0.000018
8,0.000114,0.000007,0.000001,0.000094
10,0.000023,0.000002,0.000001,0.000017
12,0.000023,0.000002,0.000001,0.000017
16,0.000025,0.000003,0.000002,0.000017
20,0.000027,0.000003,0.000003,0.000018
24,0.00003,0.000004,0.000004,0.000019
32,0.000034,0.000005,0.000006,0.000019
40,0.00004,0.000006,0.000009,0.000022
48,0.000046,0.000007,0.000013,0.000023
64,0.000065,0.000008,0.000023,0.000029
80,0.00008,0.00001,0.000035,0.00003
96,0.000103,0.000012,0.000052,0.000034
128,0.000154,0.000016,0.00009,0.000043
160,0.000231,0.000019,0.000142,0.000049
192,0.000298,0.000023,0.000204,0.000056
256,0.000534,0.00003,0.000363,0.000124
320,0.000772,0.000038,0.000561,0.000154
384,0.001024,0.000046,0.000795,0.000163
512,0.001706,0.00006,0.001424,0.000199
640,0.002553,0.000074,0.002207,0.000246
768,0.003584,0.000088,0.003185,0.000281
1024,0.006153,0.000117,0.005627,0.000373
1280,0.009447,0.000146,0.008785,0.000472
1536,0.013464,0.000175,0.012708,0.00053
2048,0.023698,0.000233,0.022608,0.000776
2560,0.036759,0.00029,0.035103,0.001281
3072,0.053829,0.000358,0.052043,0.001325
4096,0.095218,0.000475,0.092375,0.002178
5120,0.147338,0.000593,0.143851,0.002656
6144,0.211182,0.000713,0.207384,0.002865
8192,0.374659,0.00095,0.369093,0.004287
10240,0.584419,0.00118,0.57666,0.006247
12288,0.82083,0.001395,0.811012,0.008015
16384,1.458898,0.001897,1.445549,0.010939
20480,2.266222,0.002323,2.250345,0.012929
24576,3.269284,0.002791,3.244963,0.020749
32768,5.802204,0.003708,5.768235,0.029272
40960,9.078317,0.004654,9.028909,0.043529
