N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000025,0.000002,0,0.000018
8,0.000084,0.000006,0.000001,0.000068
10,0.000024,0.000002,0.000001,0.000018
12,0.000024,0.000002,0.000001,0.000018
16,0.000028,0.000003,0.000001,0.00002
20,0.00003,0.000003,0.000001,0.000022
24,0.000032,0.000004,0.000002,0.000023
32,0.000038,0.000005,0.000003,0.000026
40,0.000044,0.000006,0.000005,0.000029
48,0.000049,0.000007,0.000006,0.000031
64,0.000062,0.000008,0.000011,0.000037
80,0.000075,0.00001,0.000017,0.000043
96,0.000091,0.000012,0.000023,0.00005
128,0.000127,0.000016,0.000041,0.000063
160,0.000169,0.000019,0.000064,0.000079
192,0.000208,0.000022,0.00009,0.000087
256,0.00034,0.00003,0.000162,0.000115
320,0.000451,0.000037,0.000251,0.000135
384,0.000655,0.000044,0.000354,0.000229
512,0.001006,0.000059,0.000636,0.00028
640,0.001455,0.000073,0.00101,0.000338
768,0.001943,0.000087,0.001427,0.00039
1024,0.003237,0.000116,0.002561,0.000514
1280,0.004774,0.000145,0.003931,0.000644
1536,0.006681,0.000172,0.005699,0.000749
2048,0.011468,0.000232,0.010098,0.001064
2560,0.017585,0.000287,0.015867,0.001343
3072,0.024819,0.000343,0.022714,0.001649
4096,0.043425,0.000457,0.040568,0.002187
5120,0.066926,0.000575,0.063271,0.002851
6144,0.095639,0.000685,0.090764,0.003906
8192,0.16809,0.000919,0.161299,0.005532
10240,0.260819,0.00114,0.252044,0.007238
12288,0.374282,0.00137,0.363129,0.009354
16384,0.660938,0.001821,0.647341,0.011245
20480,1.029936,0.002294,1.009866,0.017115
24576,1.479505,0.002736,1.454396,0.021539
32768,2.620901,0.003678,2.586955,0.029216
40960,4.093891,0.004566,4.050291,0.037742
