Kernel Time 1024 (us), Transfer Time 1024 (us), Kernel Time 2048 (us), Transfer Time 2048 (us), Kernel Time 4096 (us), Transfer Time 4096 (us), Kernel Time 8096 (us), Transfer Time 8096 (us), Kernel Time 16384 (us), Transfer Time 16384 (us), Kernel Time 32768 (us), Transfer Time 32768 (us), Kernel Time 65536 (us), Transfer Time 65536 (us), Kernel Time 131072 (us), Transfer Time 131072 (us), Kernel Time 262144 (us), Transfer Time 262144 (us), Kernel Time 524288 (us), Transfer Time 524288 (us), Kernel Time 1048576 (us), Transfer Time 1048576 (us), Kernel Time 2097152 (us), Transfer Time 2097152 (us), Kernel Time 4194304 (us), Transfer Time 4194304 (us), Kernel Time 8388608 (us), Transfer Time 8388608 (us), 
17, 5,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,
17, 2,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,
17, 1,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,
17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,
17, 1,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,33, 0,17, 0,17, 0,
17, 1,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,
17, 2,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,
17, 1,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,
17, 1,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,35, 0,
17, 1,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,
18, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,
17, 1,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,17, 0,17, 0,17, 0,17, 0,17, 0,17, 1,
