Kernel Time 1024 (us), Transfer Time 1024 (us), Kernel Time 2048 (us), Transfer Time 2048 (us), Kernel Time 4096 (us), Transfer Time 4096 (us), Kernel Time 8096 (us), Transfer Time 8096 (us), Kernel Time 16384 (us), Transfer Time 16384 (us), Kernel Time 32768 (us), Transfer Time 32768 (us), Kernel Time 65536 (us), Transfer Time 65536 (us), Kernel Time 131072 (us), Transfer Time 131072 (us), Kernel Time 262144 (us), Transfer Time 262144 (us), Kernel Time 524288 (us), Transfer Time 524288 (us), Kernel Time 1048576 (us), Transfer Time 1048576 (us), Kernel Time 2097152 (us), Transfer Time 2097152 (us), Kernel Time 4194304 (us), Transfer Time 4194304 (us), Kernel Time 8388608 (us), Transfer Time 8388608 (us), 
10, 4,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,5, 2,5, 2,5, 2,
7, 4,6, 2,5, 2,5, 2,5, 2,5, 2,6, 2,5, 2,7, 2,5, 2,8, 3,6, 2,7, 2,5, 2,
7, 4,5, 2,5, 2,6, 1,5, 2,5, 2,5, 2,5, 2,5, 2,5, 2,6, 1,6, 2,5, 2,5, 2,
10, 5,5, 2,5, 2,6, 1,5, 2,5, 2,6, 1,5, 2,6, 1,5, 2,6, 1,5, 2,5, 2,6, 1,
5, 4,5, 2,5, 2,5, 2,5, 2,5, 2,6, 2,5, 2,6, 1,5, 2,5, 2,6, 2,5, 2,6, 2,
7, 4,5, 2,5, 2,5, 2,5, 2,6, 2,5, 2,6, 1,5, 2,5, 2,5, 2,5, 2,5, 2,5, 2,
10, 4,5, 2,6, 1,5, 2,5, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,
7, 4,5, 3,5, 2,6, 1,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,5, 2,5, 2,
6, 4,6, 2,5, 2,6, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,
6, 8,6, 2,6, 2,5, 2,5, 2,5, 2,5, 2,5, 2,5, 2,5, 2,5, 2,6, 2,5, 2,5, 2,
6, 4,5, 2,5, 2,5, 2,5, 2,5, 2,6, 2,5, 2,5, 2,5, 2,5, 2,6, 1,5, 2,5, 2,
7, 19,5, 2,5, 2,5, 2,6, 1,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,5, 2,
5, 4,6, 2,6, 1,6, 2,5, 2,6, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,6, 1,5, 2,
6, 3,5, 2,5, 2,6, 2,5, 2,6, 1,6, 2,5, 2,6, 1,5, 2,5, 2,6, 2,5, 2,5, 2,
6, 4,5, 2,5, 2,6, 2,5, 2,5, 2,5, 2,5, 2,6, 1,5, 2,5, 2,6, 1,5, 2,5, 2,
10, 5,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,6, 2,5, 2,6, 2,6, 2,
8, 4,5, 3,5, 2,5, 2,5, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,
5, 5,6, 2,5, 2,5, 4,6, 2,5, 2,6, 2,5, 2,6, 2,5, 2,6, 1,5, 2,6, 1,5, 2,
