N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000007,0.000000,0.000001,0.000005,
8,0.000034,0.000001,0.000000,0.000026,
10,0.000007,0.000001,0.000000,0.000004,
12,0.000007,0.000001,0.000000,0.000005,
16,0.000009,0.000001,-0.000000,0.000006,
20,0.000008,0.000001,0.000001,0.000006,
24,0.000008,0.000001,0.000000,0.000006,
32,0.000010,0.000001,0.000000,0.000007,
40,0.000011,0.000001,-0.000000,0.000008,
48,0.000011,0.000002,0.000000,0.000008,
64,0.000013,0.000002,-0.000000,0.000010,
80,0.000014,0.000002,0.000000,0.000010,
96,0.000015,0.000003,0.000001,0.000011,
128,0.000021,0.000003,0.000001,0.000016,
160,0.000024,0.000004,0.000001,0.000017,
192,0.000026,0.000004,0.000001,0.000018,
256,0.000038,0.000005,0.000002,0.000026,
320,0.000041,0.000007,0.000003,0.000029,
384,0.000048,0.000009,0.000003,0.000032,
512,0.000065,0.000011,0.000007,0.000043,
640,0.000104,0.000014,0.000009,0.000077,
768,0.000096,0.000018,0.000012,0.000061,
1024,0.000206,0.000023,0.000071,0.000090,
1280,0.000177,0.000029,0.000032,0.000100,
1536,0.000242,0.000034,0.000046,0.000144,
2048,0.000405,0.000045,0.000076,0.000262,
2560,0.000424,0.000065,0.000126,0.000210,
3072,0.000546,0.000085,0.000178,0.000260,
4096,0.000867,0.000092,0.000334,0.000411,
5120,0.001087,0.000115,0.000478,0.000461,
6144,0.001446,0.000138,0.000745,0.000526,
8192,0.002227,0.000191,0.001299,0.000689,
10240,0.003476,0.000237,0.001952,0.001227,
12288,0.004618,0.000280,0.002805,0.001441,
16384,0.007763,0.000372,0.005322,0.001931,
20480,0.011838,0.000473,0.007763,0.003477,
24576,0.016312,0.000576,0.010975,0.004611,
32768,0.028322,0.000755,0.019642,0.007745,
40960,0.043023,0.000953,0.030801,0.011059,
49152,0.061698,0.001231,0.044983,0.015241,
65536,0.107758,0.001523,0.078972,0.026955,
81920,0.165810,0.001898,0.123206,0.040352,
98304,0.238032,0.002319,0.180435,0.054837,
131072,0.415398,0.003091,0.322677,0.089075,
163840,0.643821,0.003856,0.499933,0.139355,
