N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000008,0.000001,-0.000000,0.000005,
8,0.000035,0.000001,0.000000,0.000026,
10,0.000008,0.000001,-0.000000,0.000005,
12,0.000009,0.000001,0.000000,0.000005,
16,0.000011,0.000001,0.000000,0.000008,
20,0.000009,0.000001,0.000000,0.000006,
24,0.000009,0.000001,0.000001,0.000006,
32,0.000011,0.000001,0.000000,0.000008,
40,0.000011,0.000001,-0.000000,0.000008,
48,0.000012,0.000002,0.000000,0.000009,
64,0.000016,0.000001,-0.000000,0.000011,
80,0.000015,0.000002,0.000000,0.000010,
96,0.000016,0.000002,0.000001,0.000011,
128,0.000021,0.000003,0.000001,0.000015,
160,0.000023,0.000003,0.000000,0.000017,
192,0.000026,0.000004,0.000001,0.000018,
256,0.000038,0.000006,0.000001,0.000024,
320,0.000039,0.000007,0.000001,0.000027,
384,0.000044,0.000008,0.000002,0.000030,
512,0.000066,0.000011,0.000004,0.000046,
640,0.000131,0.000035,0.000006,0.000076,
768,0.000090,0.000017,0.000008,0.000059,
1024,0.000128,0.000023,0.000012,0.000084,
1280,0.000228,0.000029,0.000019,0.000152,
1536,0.000205,0.000035,0.000028,0.000119,
2048,0.000427,0.000046,0.000048,0.000287,
2560,0.000406,0.000057,0.000073,0.000248,
3072,0.000491,0.000069,0.000107,0.000286,
4096,0.000760,0.000114,0.000173,0.000435,
5120,0.001028,0.000125,0.000310,0.000552,
6144,0.001319,0.000146,0.000413,0.000718,
8192,0.002048,0.000192,0.000715,0.001087,
10240,0.002874,0.000238,0.001113,0.001464,
12288,0.003963,0.000287,0.001596,0.002011,
16384,0.006666,0.000387,0.002855,0.003260,
20480,0.009989,0.000571,0.004435,0.004830,
24576,0.013291,0.000557,0.006703,0.005868,
32768,0.022729,0.000793,0.011518,0.010211,
40960,0.034531,0.000944,0.017474,0.015864,
49152,0.048289,0.001130,0.024935,0.021960,
65536,0.083762,0.001507,0.046104,0.035819,
81920,0.128352,0.002246,0.070148,0.055556,
98304,0.185848,0.002316,0.102356,0.079976,
131072,0.321727,0.003043,0.177882,0.140242,
163840,0.500149,0.003794,0.280025,0.215641,
