N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000006,0,0,0.000004
8,0.000034,0.000002,0.000001,0.000027
10,0.000005,0,0,0.000004
12,0.000006,0,0,0.000004
16,0.000049,0,0.000001,0.000047
20,0.000007,0,0,0.000005
24,0.000006,0,0,0.000005
32,0.000008,0.000001,0,0.000006
40,0.000007,0.000001,0.000001,0.000005
48,0.000009,0.000002,0.000001,0.000006
64,0.000012,0.000001,0.000001,0.000008
80,0.000013,0.000002,0.000001,0.000009
96,0.000015,0.000002,0.000003,0.00001
128,0.000023,0.000003,0.000003,0.000015
160,0.000026,0.000004,0.000005,0.000015
192,0.000031,0.000004,0.000008,0.000018
256,0.00005,0.000006,0.000014,0.000026
320,0.000069,0.000008,0.000018,0.000037
384,0.000081,0.000008,0.000026,0.00004
512,0.000233,0.000011,0.000048,0.000169
640,0.000191,0.000015,0.000089,0.000083
768,0.000287,0.000018,0.000136,0.000128
1024,0.000414,0.000027,0.000182,0.000197
1280,0.000632,0.00003,0.000316,0.000277
1536,0.000832,0.000046,0.000404,0.000373
2048,0.001447,0.000048,0.000738,0.000641
2560,0.002124,0.000058,0.001072,0.000978
3072,0.002998,0.000072,0.001585,0.001328
4096,0.005265,0.000102,0.002873,0.002245
5120,0.008139,0.00014,0.004726,0.003241
6144,0.011527,0.000158,0.006275,0.005055
8192,0.020106,0.000191,0.011105,0.008768
10240,0.031067,0.000238,0.018194,0.012584
12288,0.044182,0.000286,0.02513,0.018705
16384,0.078286,0.000382,0.044533,0.033291
20480,0.121308,0.000485,0.070923,0.049794
24576,0.176822,0.00062,0.102743,0.073352
32768,0.311879,0.000785,0.179996,0.130948
40960,0.485205,0.000971,0.279501,0.204556
49152,0.700953,0.001189,0.403388,0.296177
65536,1.239993,0.001564,0.719738,0.518429
81920,1.929745,0.001994,1.111428,0.815997
98304,2.805966,0.002779,2.200598,0.602151
131072,4.717448,0.00317,2.86911,1.844591
163840,7.747477,0.004655,6.105096,1.637
