N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000006,0.000001,-0.000000,0.000004,
8,0.000055,0.000002,0.000001,0.000026,
10,0.000006,0.000000,-0.000000,0.000004,
12,0.000006,0.000001,0.000000,0.000004,
16,0.000007,0.000000,0.000000,0.000005,
20,0.000007,0.000000,0.000000,0.000005,
24,0.000008,0.000000,0.000001,0.000006,
32,0.000008,0.000000,-0.000000,0.000006,
40,0.000009,0.000001,-0.000000,0.000006,
48,0.000010,0.000001,-0.000000,0.000007,
64,0.000012,0.000001,0.000001,0.000008,
80,0.000012,0.000002,0.000001,0.000008,
96,0.000014,0.000002,0.000001,0.000009,
128,0.000019,0.000003,0.000002,0.000013,
160,0.000021,0.000004,0.000002,0.000014,
192,0.000039,0.000019,0.000002,0.000016,
256,0.000037,0.000006,0.000003,0.000024,
320,0.000039,0.000007,0.000005,0.000024,
384,0.000049,0.000009,0.000007,0.000030,
512,0.000083,0.000012,0.000012,0.000038,
640,0.000123,0.000037,0.000019,0.000052,
768,0.000102,0.000017,0.000026,0.000049,
1024,0.000264,0.000023,0.000048,0.000181,
1280,0.000194,0.000028,0.000069,0.000086,
1536,0.000252,0.000035,0.000097,0.000106,
2048,0.000441,0.000068,0.000210,0.000138,
2560,0.000558,0.000058,0.000312,0.000171,
3072,0.000774,0.000069,0.000381,0.000256,
4096,0.001140,0.000094,0.000723,0.000299,
5120,0.001632,0.000116,0.001094,0.000392,
6144,0.002209,0.000139,0.001548,0.000491,
8192,0.003695,0.000203,0.002818,0.000581,
10240,0.005577,0.000271,0.004440,0.000794,
12288,0.007998,0.000313,0.006310,0.001293,
16384,0.013798,0.000384,0.011000,0.002322,
20480,0.020597,0.000507,0.017290,0.002691,
24576,0.028639,0.000616,0.026109,0.001785,
32768,0.050176,0.000772,0.044656,0.004593,
40960,0.076847,0.000957,0.070419,0.005290,
49152,0.109030,0.001166,0.102417,0.005228,
65536,0.192854,0.001538,0.179360,0.011645,
81920,0.293659,0.001938,0.279551,0.011828,
98304,0.503285,0.002361,0.402386,0.098128,
131072,0.772224,0.003122,0.715750,0.052816,
163840,1.156470,0.003894,1.114650,0.037233,
