N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000013,0.000001,0.000000,0.000008,
8,0.000024,0.000001,0.000000,0.000016,
10,0.000014,0.000001,0.000000,0.000009,
12,0.000013,0.000001,0.000000,0.000008,
16,0.000015,0.000001,0.000000,0.000009,
20,0.000024,0.000005,0.000000,0.000010,
24,0.000019,0.000001,0.000000,0.000013,
32,0.000020,0.000001,0.000000,0.000013,
40,0.000018,0.000001,0.000000,0.000012,
48,0.000020,0.000002,0.000000,0.000013,
64,0.000027,0.000002,0.000000,0.000019,
80,0.000031,0.000003,0.000000,0.000022,
96,0.000041,0.000003,0.000000,0.000027,
128,0.000047,0.000004,0.000000,0.000033,
160,0.000050,0.000005,0.000001,0.000038,
192,0.000053,0.000010,0.000001,0.000037,
256,0.000067,0.000007,0.000001,0.000052,
320,0.000086,0.000013,0.000001,0.000064,
384,0.000092,0.000015,0.000002,0.000067,
512,0.000120,0.000019,0.000003,0.000085,
640,0.000146,0.000028,0.000004,0.000100,
768,0.000153,0.000025,0.000005,0.000114,
1024,0.000197,0.000033,0.000009,0.000140,
1280,0.000248,0.000044,0.000015,0.000175,
1536,0.000282,0.000045,0.000021,0.000200,
2048,0.000441,0.000064,0.000042,0.000272,
2560,0.000502,0.000075,0.000054,0.000323,
3072,0.000604,0.000090,0.000076,0.000383,
4096,0.000939,0.000120,0.000136,0.000624,
5120,0.001081,0.000149,0.000214,0.000644,
6144,0.001370,0.000179,0.000307,0.000785,
8192,0.001928,0.000237,0.000534,0.001075,
10240,0.002543,0.000293,0.000845,0.001315,
12288,0.003294,0.000359,0.001198,0.001636,
16384,0.004913,0.000480,0.002135,0.002180,
20480,0.006836,0.000596,0.003334,0.002769,
24576,0.009050,0.000714,0.004764,0.003317,
32768,0.014361,0.000947,0.008534,0.004566,
40960,0.020730,0.001207,0.013365,0.005814,
49152,0.027992,0.001434,0.019161,0.006995,
65536,0.046331,0.001924,0.034129,0.009824,
81920,0.068723,0.002377,0.053341,0.012458,
98304,0.095764,0.002971,0.076833,0.015374,
131072,0.162515,0.003816,0.136474,0.021488,
163840,0.246475,0.004823,0.214003,0.026776,
