N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000018,0.000001,0.000000,0.000012,
8,0.000025,0.000001,0.000000,0.000016,
10,0.000014,0.000001,0.000000,0.000009,
12,0.000013,0.000001,0.000000,0.000008,
16,0.000014,0.000001,0.000000,0.000009,
20,0.000024,0.000001,0.000000,0.000013,
24,0.000019,0.000001,0.000000,0.000013,
32,0.000018,0.000001,0.000000,0.000012,
40,0.000018,0.000001,0.000000,0.000012,
48,0.000025,0.000002,0.000000,0.000018,
64,0.000040,0.000005,0.000000,0.000020,
80,0.000034,0.000002,0.000000,0.000017,
96,0.000031,0.000003,0.000000,0.000022,
128,0.000040,0.000004,0.000000,0.000030,
160,0.000041,0.000005,0.000000,0.000030,
192,0.000053,0.000010,0.000001,0.000032,
256,0.000072,0.000007,0.000001,0.000057,
320,0.000069,0.000013,0.000001,0.000047,
384,0.000079,0.000015,0.000001,0.000054,
512,0.000124,0.000026,0.000002,0.000079,
640,0.000117,0.000023,0.000003,0.000082,
768,0.000138,0.000023,0.000005,0.000100,
1024,0.000206,0.000040,0.000007,0.000139,
1280,0.000235,0.000039,0.000012,0.000165,
1536,0.000256,0.000043,0.000015,0.000183,
2048,0.000400,0.000064,0.000029,0.000244,
2560,0.000449,0.000070,0.000039,0.000291,
3072,0.000557,0.000086,0.000055,0.000361,
4096,0.000770,0.000116,0.000098,0.000497,
5120,0.001015,0.000142,0.000157,0.000653,
6144,0.001246,0.000169,0.000221,0.000757,
8192,0.001750,0.000230,0.000389,0.001046,
10240,0.002287,0.000288,0.000604,0.001302,
12288,0.002960,0.000338,0.000882,0.001632,
16384,0.004479,0.000457,0.001543,0.002353,
20480,0.006071,0.000568,0.002379,0.002985,
24576,0.008100,0.000692,0.003427,0.003817,
32768,0.012895,0.000920,0.006153,0.005498,
40960,0.018435,0.001134,0.009649,0.007314,
49152,0.024995,0.001387,0.013911,0.009323,
65536,0.040903,0.001835,0.024608,0.014007,
81920,0.060793,0.002344,0.038659,0.019266,
98304,0.084653,0.002858,0.055146,0.026004,
131072,0.143959,0.003718,0.099221,0.040284,
163840,0.218179,0.004613,0.152542,0.060151,
