N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000007,0.000001,-0.000000,0.000005,
8,0.000028,0.000002,-0.000000,0.000016,
10,0.000007,0.000000,0.000000,0.000005,
12,0.000007,0.000000,0.000000,0.000004,
16,0.000018,0.000000,0.000000,0.000016,
20,0.000010,0.000000,-0.000000,0.000008,
24,0.000009,0.000001,0.000000,0.000007,
32,0.000011,0.000001,0.000000,0.000006,
40,0.000013,0.000001,0.000000,0.000008,
48,0.000012,0.000001,0.000001,0.000007,
64,0.000014,0.000002,0.000000,0.000009,
80,0.000015,0.000002,-0.000000,0.000011,
96,0.000017,0.000002,0.000001,0.000011,
128,0.000021,0.000003,0.000001,0.000015,
160,0.000023,0.000003,0.000001,0.000016,
192,0.000027,0.000004,0.000001,0.000019,
256,0.000086,0.000005,0.000002,0.000072,
320,0.000040,0.000007,0.000002,0.000028,
384,0.000048,0.000009,0.000003,0.000034,
512,0.000066,0.000012,0.000006,0.000044,
640,0.000078,0.000014,0.000009,0.000050,
768,0.000092,0.000018,0.000010,0.000060,
1024,0.000142,0.000023,0.000019,0.000078,
1280,0.000172,0.000028,0.000028,0.000097,
1536,0.000213,0.000035,0.000040,0.000119,
2048,0.000319,0.000046,0.000077,0.000175,
2560,0.000385,0.000057,0.000100,0.000204,
3072,0.000513,0.000069,0.000149,0.000261,
4096,0.000801,0.000092,0.000298,0.000381,
5120,0.001062,0.000115,0.000446,0.000465,
6144,0.001386,0.000138,0.000632,0.000577,
8192,0.002143,0.000185,0.001097,0.000812,
10240,0.003094,0.000230,0.001779,0.001032,
12288,0.004196,0.000286,0.002418,0.001427,
16384,0.007177,0.000383,0.004388,0.002253,
20480,0.010754,0.000463,0.006698,0.003466,
24576,0.014692,0.000566,0.009353,0.004621,
32768,0.025519,0.000754,0.016950,0.007634,
40960,0.037444,0.000946,0.026389,0.009893,
49152,0.053484,0.001158,0.038079,0.013999,
65536,0.092724,0.001518,0.067119,0.023780,
81920,0.143130,0.001925,0.105693,0.035151,
98304,0.205781,0.002367,0.151875,0.051106,
131072,0.356379,0.003045,0.272190,0.080601,
163840,0.559737,0.003871,0.422346,0.132842,
