N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000006,0,0,0.000004
8,0.000009,0.000002,0,0.000006
10,0.000005,0,0,0.000003
12,0.000005,0.000001,0,0.000003
16,0.000005,0.000001,0.000001,0.000003
20,0.000008,0.000001,0.000001,0.000005
24,0.000007,0.000001,0.000001,0.000004
32,0.000008,0.000001,0.000002,0.000005
40,0.000009,0.000001,0.000002,0.000005
48,0.000013,0.000003,0.000003,0.000007
64,0.000014,0.000002,0.000004,0.000007
80,0.00002,0.000003,0.000009,0.000007
96,0.000024,0.000003,0.000012,0.000007
128,0.000036,0.000004,0.000019,0.000011
160,0.000046,0.000005,0.000024,0.000011
192,0.000061,0.000006,0.000039,0.000012
256,0.000096,0.000008,0.000063,0.000021
320,0.000138,0.00001,0.000101,0.000024
384,0.000184,0.000012,0.000144,0.000025
512,0.000327,0.000015,0.000265,0.000042
640,0.000448,0.000021,0.000371,0.000051
768,0.000617,0.000023,0.000528,0.00006
1024,0.001064,0.000033,0.000928,0.000096
1280,0.001658,0.000039,0.001486,0.000124
1536,0.002336,0.000049,0.002146,0.000133
2048,0.004023,0.000063,0.003693,0.000247
2560,0.00619,0.000077,0.00571,0.000386
3072,0.008801,0.000095,0.008211,0.000476
4096,0.015521,0.000129,0.014605,0.000763
5120,0.024275,0.000156,0.023136,0.000952
6144,0.034459,0.000188,0.032912,0.001327
8192,0.061338,0.000251,0.058129,0.002916
10240,0.09482,0.000315,0.090768,0.003686
12288,0.135752,0.000374,0.130454,0.004865
16384,0.24249,0.0005,0.233531,0.008383
20480,0.375648,0.000628,0.361403,0.013526
24576,0.542308,0.000798,0.523262,0.018139
32768,0.96049,0.001007,0.927121,0.032217
40960,1.498762,0.001259,1.447639,0.049688
49152,2.161681,0.001517,2.08118,0.078773
65536,3.833491,0.002025,3.689811,0.141378
81920,5.976607,0.002583,5.801528,0.172147
98304,8.687065,0.003238,8.50024,0.183181
131072,15.359204,0.004066,14.899961,0.454628
163840,24.21761,0.005192,23.498605,0.71313
