N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000022,0.000001,0.000000,0.000013,
8,0.000027,0.000001,0.000000,0.000019,
10,0.000019,0.000001,0.000000,0.000013,
12,0.000015,0.000001,0.000000,0.000009,
16,0.000019,0.000001,0.000000,0.000012,
20,0.000017,0.000001,0.000000,0.000010,
24,0.000025,0.000001,0.000000,0.000014,
32,0.000024,0.000001,0.000000,0.000017,
40,0.000028,0.000005,0.000000,0.000013,
48,0.000025,0.000002,0.000000,0.000017,
64,0.000024,0.000002,0.000000,0.000016,
80,0.000027,0.000003,0.000000,0.000017,
96,0.000047,0.000007,0.000000,0.000032,
128,0.000042,0.000004,0.000000,0.000031,
160,0.000037,0.000005,0.000000,0.000025,
192,0.000053,0.000010,0.000000,0.000031,
256,0.000060,0.000007,0.000001,0.000045,
320,0.000070,0.000009,0.000001,0.000048,
384,0.000085,0.000015,0.000001,0.000060,
512,0.000094,0.000014,0.000002,0.000069,
640,0.000135,0.000023,0.000003,0.000099,
768,0.000137,0.000022,0.000004,0.000098,
1024,0.000207,0.000043,0.000007,0.000136,
1280,0.000218,0.000036,0.000012,0.000157,
1536,0.000253,0.000047,0.000014,0.000177,
2048,0.000402,0.000062,0.000026,0.000245,
2560,0.000464,0.000074,0.000036,0.000294,
3072,0.000574,0.000090,0.000051,0.000344,
4096,0.000828,0.000117,0.000092,0.000550,
5120,0.000936,0.000147,0.000143,0.000575,
6144,0.001157,0.000177,0.000205,0.000701,
8192,0.001650,0.000236,0.000368,0.000961,
10240,0.002263,0.000293,0.000575,0.001294,
12288,0.002757,0.000348,0.000831,0.001445,
16384,0.004091,0.000475,0.001468,0.002009,
20480,0.005489,0.000581,0.002282,0.002475,
24576,0.007233,0.000702,0.003309,0.003051,
32768,0.011208,0.000938,0.005763,0.004168,
40960,0.015758,0.001168,0.009060,0.005169,
49152,0.021206,0.001446,0.013064,0.006233,
65536,0.034206,0.001870,0.023088,0.008783,
81920,0.050067,0.002343,0.036099,0.011079,
98304,0.069841,0.002901,0.051807,0.014515,
131072,0.116557,0.003747,0.092441,0.019617,
163840,0.175617,0.004693,0.144406,0.025612,
