N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000007,0.000001,-0.000000,0.000005,
8,0.000029,0.000001,0.000000,0.000021,
10,0.000012,-0.000000,0.000000,0.000009,
12,0.000007,0.000000,-0.000000,0.000004,
16,0.000008,0.000001,0.000001,0.000006,
20,0.000008,-0.000000,0.000001,0.000006,
24,0.000008,0.000001,0.000000,0.000006,
32,0.000010,0.000001,0.000001,0.000006,
40,0.000011,0.000001,0.000000,0.000008,
48,0.000011,0.000002,0.000000,0.000008,
64,0.000012,0.000002,0.000001,0.000008,
80,0.000015,0.000002,0.000000,0.000012,
96,0.000015,0.000002,0.000001,0.000011,
128,0.000022,0.000003,0.000001,0.000016,
160,0.000024,0.000004,0.000001,0.000018,
192,0.000029,0.000005,0.000001,0.000020,
256,0.000039,0.000005,0.000002,0.000026,
320,0.000042,0.000007,0.000003,0.000030,
384,0.000051,0.000009,0.000004,0.000035,
512,0.000140,0.000012,0.000008,0.000117,
640,0.000094,0.000024,0.000011,0.000055,
768,0.000106,0.000018,0.000014,0.000062,
1024,0.000155,0.000022,0.000025,0.000087,
1280,0.000189,0.000029,0.000040,0.000105,
1536,0.000251,0.000035,0.000074,0.000125,
2048,0.000345,0.000046,0.000100,0.000179,
2560,0.000438,0.000057,0.000146,0.000212,
3072,0.000584,0.000069,0.000218,0.000274,
4096,0.000960,0.000091,0.000388,0.000451,
5120,0.001190,0.000115,0.000594,0.000448,
6144,0.001573,0.000138,0.000866,0.000533,
8192,0.002495,0.000185,0.001496,0.000759,
10240,0.003617,0.000231,0.002318,0.001015,
12288,0.005205,0.000280,0.003444,0.001392,
16384,0.008373,0.000377,0.006420,0.001446,
20480,0.012079,0.000488,0.009295,0.002178,
24576,0.016687,0.000574,0.013283,0.002690,
32768,0.028343,0.000793,0.024022,0.003346,
40960,0.043699,0.000950,0.037585,0.004967,
49152,0.059381,0.001133,0.053214,0.004797,
65536,0.103832,0.001531,0.096001,0.006005,
81920,0.160799,0.001892,0.147920,0.010630,
98304,0.227651,0.002342,0.212101,0.012791,
131072,0.399579,0.003040,0.378405,0.017589,
163840,0.618042,0.003868,0.591083,0.022440,
