N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000019,0.000001,0.000000,0.000014,
8,0.000027,0.000001,0.000000,0.000016,
10,0.000014,0.000001,0.000000,0.000009,
12,0.000013,0.000001,0.000000,0.000008,
16,0.000014,0.000001,0.000000,0.000009,
20,0.000019,0.000001,0.000000,0.000009,
24,0.000019,0.000005,0.000000,0.000009,
32,0.000027,0.000001,0.000000,0.000021,
40,0.000027,0.000001,0.000000,0.000016,
48,0.000019,0.000002,0.000000,0.000012,
64,0.000030,0.000002,0.000000,0.000018,
80,0.000032,0.000002,0.000000,0.000024,
96,0.000039,0.000003,0.000000,0.000026,
128,0.000042,0.000004,0.000000,0.000032,
160,0.000041,0.000004,0.000000,0.000030,
192,0.000045,0.000006,0.000000,0.000032,
256,0.000069,0.000007,0.000001,0.000051,
320,0.000069,0.000014,0.000001,0.000047,
384,0.000077,0.000011,0.000001,0.000058,
512,0.000104,0.000014,0.000002,0.000076,
640,0.000132,0.000019,0.000003,0.000097,
768,0.000156,0.000022,0.000004,0.000119,
1024,0.000199,0.000038,0.000007,0.000142,
1280,0.000222,0.000040,0.000011,0.000158,
1536,0.000260,0.000042,0.000016,0.000185,
2048,0.000394,0.000063,0.000029,0.000246,
2560,0.000464,0.000068,0.000044,0.000299,
3072,0.000576,0.000086,0.000063,0.000364,
4096,0.000776,0.000115,0.000111,0.000491,
5120,0.001007,0.000142,0.000173,0.000625,
6144,0.001230,0.000169,0.000247,0.000743,
8192,0.001757,0.000230,0.000439,0.001005,
10240,0.002364,0.000279,0.000693,0.001300,
12288,0.003136,0.000337,0.000993,0.001608,
16384,0.004633,0.000480,0.001777,0.002254,
20480,0.006446,0.000558,0.002758,0.002989,
24576,0.008319,0.000675,0.003989,0.003493,
32768,0.013185,0.000899,0.007065,0.004915,
40960,0.018997,0.001118,0.010996,0.006555,
49152,0.025914,0.001350,0.015958,0.008239,
65536,0.042568,0.001803,0.028073,0.012263,
81920,0.063362,0.002306,0.044459,0.016077,
98304,0.088325,0.002788,0.062774,0.022180,
131072,0.149233,0.003633,0.112670,0.032218,
163840,0.227253,0.004575,0.176233,0.045596,
