N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000026,0.000001,0.000000,0.000020,
8,0.000031,0.000001,0.000000,0.000021,
10,0.000015,0.000001,0.000000,0.000009,
12,0.000021,0.000001,0.000000,0.000010,
16,0.000017,0.000001,0.000000,0.000011,
20,0.000021,0.000001,0.000000,0.000015,
24,0.000017,0.000001,0.000000,0.000011,
32,0.000021,0.000001,0.000000,0.000014,
40,0.000028,0.000003,0.000000,0.000019,
48,0.000039,0.000002,0.000000,0.000027,
64,0.000025,0.000002,0.000000,0.000016,
80,0.000027,0.000003,0.000000,0.000017,
96,0.000043,0.000003,0.000000,0.000019,
128,0.000053,0.000004,0.000000,0.000038,
160,0.000041,0.000005,0.000000,0.000029,
192,0.000052,0.000010,0.000000,0.000034,
256,0.000063,0.000008,0.000001,0.000043,
320,0.000083,0.000017,0.000002,0.000056,
384,0.000085,0.000011,0.000001,0.000064,
512,0.000102,0.000015,0.000002,0.000076,
640,0.000136,0.000023,0.000003,0.000092,
768,0.000149,0.000022,0.000004,0.000112,
1024,0.000202,0.000039,0.000007,0.000139,
1280,0.000236,0.000040,0.000011,0.000169,
1536,0.000255,0.000044,0.000016,0.000179,
2048,0.000394,0.000060,0.000029,0.000248,
2560,0.000467,0.000074,0.000041,0.000298,
3072,0.000563,0.000086,0.000062,0.000361,
4096,0.000766,0.000116,0.000106,0.000484,
5120,0.000995,0.000150,0.000173,0.000602,
6144,0.001225,0.000176,0.000242,0.000731,
8192,0.001738,0.000236,0.000427,0.000988,
10240,0.002310,0.000295,0.000669,0.001246,
12288,0.002960,0.000355,0.000958,0.001536,
16384,0.004354,0.000470,0.001708,0.002046,
20480,0.005984,0.000584,0.002679,0.002570,
24576,0.007858,0.000707,0.003864,0.003122,
32768,0.012299,0.000937,0.006816,0.004215,
40960,0.017641,0.001168,0.010616,0.005509,
49152,0.023786,0.001407,0.015260,0.006739,
65536,0.039465,0.001884,0.027163,0.009934,
81920,0.057455,0.002347,0.042309,0.012275,
98304,0.079930,0.002912,0.061156,0.015256,
131072,0.134934,0.003828,0.108395,0.021970,
163840,0.204166,0.004706,0.169768,0.028807,
