N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000015,0.000001,0.000000,0.000009,
8,0.000036,0.000001,0.000000,0.000024,
10,0.000015,0.000001,0.000000,0.000009,
12,0.000014,0.000001,0.000000,0.000009,
16,0.000016,0.000001,0.000000,0.000009,
20,0.000017,0.000001,0.000000,0.000010,
24,0.000027,0.000001,0.000000,0.000019,
32,0.000023,0.000001,0.000000,0.000017,
40,0.000029,0.000002,0.000000,0.000022,
48,0.000028,0.000005,0.000000,0.000013,
64,0.000028,0.000002,0.000000,0.000019,
80,0.000027,0.000002,0.000000,0.000017,
96,0.000032,0.000003,0.000000,0.000022,
128,0.000038,0.000004,0.000000,0.000026,
160,0.000037,0.000005,0.000000,0.000024,
192,0.000048,0.000006,0.000000,0.000035,
256,0.000061,0.000008,0.000001,0.000046,
320,0.000065,0.000009,0.000001,0.000047,
384,0.000085,0.000011,0.000001,0.000060,
512,0.000101,0.000014,0.000002,0.000076,
640,0.000154,0.000027,0.000003,0.000111,
768,0.000130,0.000022,0.000004,0.000094,
1024,0.000215,0.000046,0.000006,0.000146,
1280,0.000217,0.000036,0.000010,0.000159,
1536,0.000254,0.000051,0.000014,0.000174,
2048,0.000406,0.000059,0.000021,0.000262,
2560,0.000453,0.000073,0.000032,0.000293,
3072,0.000545,0.000086,0.000049,0.000355,
4096,0.000768,0.000118,0.000094,0.000491,
5120,0.000950,0.000145,0.000148,0.000587,
6144,0.001185,0.000177,0.000223,0.000708,
8192,0.001657,0.000237,0.000386,0.000950,
10240,0.002220,0.000293,0.000604,0.001227,
12288,0.002765,0.000345,0.000875,0.001433,
16384,0.004162,0.000462,0.001545,0.002024,
20480,0.005677,0.000579,0.002428,0.002518,
24576,0.007456,0.000703,0.003476,0.003041,
32768,0.011624,0.000934,0.006169,0.004172,
40960,0.016420,0.001167,0.009667,0.005234,
49152,0.022191,0.001395,0.013876,0.006438,
65536,0.036063,0.001879,0.024737,0.008978,
81920,0.053091,0.002389,0.038649,0.011516,
98304,0.073460,0.002898,0.055764,0.014191,
131072,0.123458,0.003764,0.098822,0.020130,
163840,0.186497,0.004674,0.154772,0.026156,
