N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000017,0.000001,0.000000,0.000008,
8,0.000029,0.000001,0.000000,0.000016,
10,0.000014,0.000001,0.000000,0.000009,
12,0.000015,0.000001,0.000000,0.000010,
16,0.000019,0.000005,0.000000,0.000009,
20,0.000015,0.000001,0.000000,0.000009,
24,0.000022,0.000001,0.000000,0.000016,
32,0.000018,0.000001,0.000000,0.000013,
40,0.000031,0.000001,0.000000,0.000026,
48,0.000032,0.000002,0.000000,0.000025,
64,0.000027,0.000002,0.000000,0.000019,
80,0.000036,0.000003,0.000000,0.000027,
96,0.000050,0.000003,0.000000,0.000024,
128,0.000038,0.000004,0.000000,0.000028,
160,0.000048,0.000005,0.000001,0.000033,
192,0.000064,0.000006,0.000001,0.000052,
256,0.000070,0.000007,0.000001,0.000054,
320,0.000081,0.000018,0.000001,0.000051,
384,0.000073,0.000011,0.000002,0.000053,
512,0.000117,0.000019,0.000003,0.000088,
640,0.000159,0.000023,0.000004,0.000123,
768,0.000152,0.000023,0.000006,0.000112,
1024,0.000209,0.000033,0.000011,0.000155,
1280,0.000266,0.000044,0.000018,0.000188,
1536,0.000295,0.000043,0.000022,0.000187,
2048,0.000423,0.000057,0.000036,0.000277,
2560,0.000510,0.000075,0.000060,0.000324,
3072,0.000624,0.000086,0.000086,0.000402,
4096,0.000879,0.000116,0.000156,0.000551,
5120,0.001111,0.000145,0.000242,0.000665,
6144,0.001454,0.000173,0.000349,0.000867,
8192,0.002067,0.000232,0.000616,0.001142,
10240,0.002772,0.000290,0.000960,0.001430,
12288,0.003569,0.000350,0.001394,0.001728,
16384,0.005388,0.000473,0.002443,0.002358,
20480,0.007550,0.000583,0.003870,0.002961,
24576,0.010119,0.000699,0.005492,0.003681,
32768,0.016249,0.000935,0.009776,0.005243,
40960,0.023372,0.001172,0.015341,0.006550,
49152,0.032095,0.001404,0.022032,0.008309,
65536,0.053315,0.001915,0.039220,0.011761,
81920,0.079919,0.002339,0.061318,0.015770,
98304,0.111801,0.002918,0.088067,0.020235,
131072,0.191207,0.003777,0.157573,0.029153,
163840,0.290806,0.004700,0.247465,0.037785,
