N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000006,-0.000000,-0.000000,0.000004,
8,0.000026,0.000002,0.000001,0.000022,
10,0.000057,0.000001,0.000000,0.000055,
12,0.000006,0.000001,0.000001,0.000004,
16,0.000008,0.000001,0.000000,0.000006,
20,0.000007,0.000001,0.000000,0.000005,
24,0.000008,0.000001,0.000000,0.000005,
32,0.000009,0.000001,0.000001,0.000007,
40,0.000011,0.000001,0.000001,0.000007,
48,0.000012,0.000002,0.000001,0.000008,
64,0.000012,0.000001,0.000001,0.000009,
80,0.000016,0.000002,0.000002,0.000011,
96,0.000018,0.000003,0.000002,0.000013,
128,0.000027,0.000003,0.000003,0.000019,
160,0.000044,0.000015,0.000006,0.000022,
192,0.000034,0.000006,0.000006,0.000020,
256,0.000049,0.000007,0.000011,0.000029,
320,0.000058,0.000008,0.000015,0.000033,
384,0.000077,0.000010,0.000024,0.000037,
512,0.000118,0.000013,0.000042,0.000053,
640,0.000149,0.000016,0.000062,0.000065,
768,0.000205,0.000029,0.000088,0.000081,
1024,0.000289,0.000026,0.000156,0.000096,
1280,0.000402,0.000033,0.000235,0.000125,
1536,0.000539,0.000040,0.000335,0.000155,
2048,0.000930,0.000053,0.000643,0.000220,
2560,0.001296,0.000066,0.000949,0.000266,
3072,0.001798,0.000086,0.001389,0.000306,
4096,0.002993,0.000106,0.002454,0.000410,
5120,0.004527,0.000146,0.003810,0.000514,
6144,0.006386,0.000158,0.005494,0.000681,
8192,0.010954,0.000218,0.009767,0.000921,
10240,0.016891,0.000272,0.015519,0.001046,
12288,0.024767,0.000318,0.023077,0.001305,
16384,0.041445,0.000435,0.039216,0.001709,
20480,0.063880,0.000538,0.061141,0.002101,
24576,0.091427,0.000654,0.087311,0.003342,
32768,0.161898,0.000863,0.157041,0.003836,
40960,0.252254,0.001077,0.244810,0.006188,
49152,0.359835,0.001316,0.352900,0.005390,
65536,0.636350,0.001742,0.624761,0.009510,
81920,0.758083,0.002176,0.741811,0.013761,
98304,1.048403,0.002424,1.031300,0.014292,
131072,1.865203,0.003149,1.841423,0.020119,
163840,2.897286,0.003942,2.844167,0.048526,
