N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000015,0.000000,0.000000,0.000011,
8,0.000069,0.000001,0.000000,0.000061,
10,0.000013,0.000001,0.000000,0.000009,
12,0.000013,0.000001,0.000000,0.000009,
16,0.000016,0.000001,0.000000,0.000012,
20,0.000018,0.000001,0.000000,0.000013,
24,0.000021,0.000002,0.000000,0.000012,
32,0.000020,0.000001,0.000000,0.000015,
40,0.000021,0.000002,0.000000,0.000016,
48,0.000030,0.000002,0.000000,0.000024,
64,0.000028,0.000002,0.000000,0.000019,
80,0.000030,0.000003,0.000000,0.000023,
96,0.000032,0.000003,0.000000,0.000025,
128,0.000036,0.000004,0.000000,0.000027,
160,0.000041,0.000005,0.000001,0.000032,
192,0.000046,0.000006,0.000001,0.000034,
256,0.000077,0.000007,0.000001,0.000062,
320,0.000082,0.000010,0.000002,0.000063,
384,0.000090,0.000012,0.000003,0.000068,
512,0.000115,0.000017,0.000004,0.000087,
640,0.000148,0.000022,0.000011,0.000106,
768,0.000173,0.000025,0.000009,0.000131,
1024,0.000242,0.000032,0.000017,0.000183,
1280,0.000324,0.000041,0.000022,0.000210,
1536,0.000351,0.000044,0.000036,0.000236,
2048,0.000503,0.000062,0.000063,0.000332,
2560,0.000623,0.000077,0.000094,0.000414,
3072,0.000754,0.000091,0.000130,0.000493,
4096,0.001069,0.000121,0.000231,0.000672,
5120,0.001432,0.000153,0.000365,0.000864,
6144,0.001809,0.000181,0.000528,0.001046,
8192,0.002698,0.000244,0.000922,0.001466,
10240,0.003731,0.000301,0.001457,0.001897,
12288,0.004857,0.000358,0.002109,0.002301,
16384,0.007640,0.000486,0.003709,0.003339,
20480,0.010903,0.000606,0.005781,0.004301,
24576,0.014673,0.000727,0.008298,0.005432,
32768,0.024051,0.000975,0.014819,0.007981,
40960,0.035495,0.001219,0.023141,0.010844,
49152,0.048884,0.001458,0.033268,0.013830,
65536,0.082824,0.001953,0.059637,0.020833,
81920,0.124636,0.002436,0.092445,0.029283,
98304,0.176322,0.003012,0.133766,0.038985,
131072,0.304503,0.003959,0.237979,0.061868,
163840,0.465695,0.004978,0.370719,0.089160,
