N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000018,0.000001,0.000000,0.000008,
8,0.000029,0.000001,0.000000,0.000020,
10,0.000014,0.000001,0.000000,0.000009,
12,0.000017,0.000001,0.000000,0.000012,
16,0.000019,0.000001,0.000000,0.000013,
20,0.000028,0.000001,0.000000,0.000014,
24,0.000016,0.000001,0.000000,0.000010,
32,0.000029,0.000001,0.000000,0.000022,
40,0.000019,0.000002,0.000000,0.000012,
48,0.000025,0.000002,0.000000,0.000018,
64,0.000032,0.000002,0.000000,0.000024,
80,0.000031,0.000003,0.000000,0.000022,
96,0.000032,0.000007,0.000000,0.000019,
128,0.000043,0.000004,0.000000,0.000033,
160,0.000055,0.000009,0.000000,0.000035,
192,0.000066,0.000006,0.000001,0.000044,
256,0.000056,0.000007,0.000001,0.000041,
320,0.000070,0.000009,0.000001,0.000053,
384,0.000083,0.000011,0.000002,0.000056,
512,0.000110,0.000015,0.000003,0.000085,
640,0.000151,0.000020,0.000004,0.000118,
768,0.000173,0.000027,0.000006,0.000131,
1024,0.000227,0.000041,0.000010,0.000157,
1280,0.000250,0.000044,0.000020,0.000174,
1536,0.000327,0.000048,0.000024,0.000204,
2048,0.000438,0.000062,0.000039,0.000280,
2560,0.000513,0.000073,0.000058,0.000334,
3072,0.000637,0.000089,0.000082,0.000409,
4096,0.000898,0.000117,0.000152,0.000571,
5120,0.001117,0.000146,0.000228,0.000681,
6144,0.001417,0.000174,0.000330,0.000841,
8192,0.002049,0.000238,0.000585,0.001140,
10240,0.002682,0.000297,0.000901,0.001397,
12288,0.003439,0.000356,0.001309,0.001677,
16384,0.005225,0.000476,0.002307,0.002322,
20480,0.007373,0.000598,0.003638,0.002988,
24576,0.009665,0.000716,0.005189,0.003510,
32768,0.015279,0.000947,0.009166,0.004861,
40960,0.021985,0.001190,0.014316,0.006156,
49152,0.030166,0.001427,0.020682,0.007698,
65536,0.049655,0.001901,0.036796,0.010465,
81920,0.073609,0.002351,0.057282,0.013471,
98304,0.103315,0.002941,0.082603,0.017188,
131072,0.174929,0.003833,0.146816,0.023558,
163840,0.266431,0.004827,0.229788,0.030945,
