N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000007,0.000000,0.000000,0.000005,
8,0.000030,0.000001,-0.000000,0.000022,
10,0.000007,0.000000,0.000000,0.000005,
12,0.000007,0.000000,0.000000,0.000005,
16,0.000009,0.000001,0.000000,0.000006,
20,0.000008,0.000001,0.000000,0.000005,
24,0.000008,0.000001,-0.000000,0.000006,
32,0.000011,0.000001,-0.000000,0.000008,
40,0.000011,0.000001,-0.000000,0.000008,
48,0.000011,0.000002,-0.000000,0.000007,
64,0.000013,0.000002,0.000000,0.000010,
80,0.000014,0.000002,0.000000,0.000011,
96,0.000017,0.000003,0.000001,0.000012,
128,0.000070,0.000003,0.000001,0.000064,
160,0.000024,0.000003,0.000002,0.000017,
192,0.000028,0.000004,0.000002,0.000020,
256,0.000041,0.000006,0.000002,0.000028,
320,0.000045,0.000007,0.000003,0.000032,
384,0.000053,0.000009,0.000004,0.000036,
512,0.000071,0.000011,0.000008,0.000048,
640,0.000088,0.000014,0.000013,0.000058,
768,0.000111,0.000017,0.000018,0.000066,
1024,0.000160,0.000024,0.000027,0.000090,
1280,0.000296,0.000049,0.000045,0.000185,
1536,0.000253,0.000034,0.000072,0.000131,
2048,0.000364,0.000054,0.000114,0.000177,
2560,0.000504,0.000070,0.000175,0.000239,
3072,0.000632,0.000069,0.000252,0.000288,
4096,0.001073,0.000093,0.000465,0.000486,
5120,0.001342,0.000116,0.000712,0.000486,
6144,0.001773,0.000145,0.001035,0.000558,
8192,0.002818,0.000186,0.001827,0.000760,
10240,0.004261,0.000231,0.002817,0.001102,
12288,0.005748,0.000280,0.003933,0.001442,
16384,0.009635,0.000387,0.007574,0.001571,
20480,0.014211,0.000477,0.011243,0.002363,
24576,0.019907,0.000575,0.016440,0.002741,
32768,0.033418,0.000776,0.028349,0.004135,
40960,0.050114,0.000952,0.044957,0.003772,
49152,0.070645,0.001157,0.063921,0.005314,
65536,0.125668,0.002051,0.116182,0.007141,
81920,0.191911,0.001923,0.179443,0.010196,
98304,0.273309,0.002291,0.257063,0.013542,
131072,0.482652,0.003081,0.457843,0.021205,
163840,0.745648,0.003905,0.717054,0.024024,
