N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000007,0.000001,0.000001,0.000004,
8,0.000036,0.000001,0.000000,0.000025,
10,0.000008,0.000001,-0.000000,0.000005,
12,0.000008,0.000000,0.000000,0.000005,
16,0.000010,0.000001,0.000000,0.000007,
20,0.000009,0.000001,-0.000000,0.000006,
24,0.000009,0.000001,0.000000,0.000006,
32,0.000011,0.000001,0.000000,0.000007,
40,0.000011,0.000001,0.000000,0.000007,
48,0.000011,0.000002,0.000001,0.000008,
64,0.000014,0.000002,-0.000000,0.000010,
80,0.000016,0.000002,0.000001,0.000010,
96,0.000015,0.000002,0.000000,0.000011,
128,0.000021,0.000003,0.000000,0.000016,
160,0.000023,0.000003,0.000001,0.000016,
192,0.000026,0.000005,0.000001,0.000017,
256,0.000038,0.000005,0.000002,0.000025,
320,0.000041,0.000007,0.000002,0.000029,
384,0.000047,0.000009,0.000002,0.000032,
512,0.000063,0.000011,0.000005,0.000043,
640,0.000076,0.000015,0.000007,0.000051,
768,0.000103,0.000018,0.000009,0.000070,
1024,0.000196,0.000023,0.000015,0.000078,
1280,0.000192,0.000028,0.000024,0.000120,
1536,0.000202,0.000034,0.000036,0.000112,
2048,0.000377,0.000051,0.000062,0.000236,
2560,0.000401,0.000058,0.000103,0.000215,
3072,0.000479,0.000069,0.000147,0.000235,
4096,0.000723,0.000093,0.000232,0.000358,
5120,0.000964,0.000115,0.000373,0.000441,
6144,0.001490,0.000138,0.000524,0.000660,
8192,0.002013,0.000184,0.000905,0.000873,
10240,0.002914,0.000328,0.001448,0.001076,
12288,0.003852,0.000287,0.002081,0.001410,
16384,0.006382,0.000374,0.003764,0.002086,
20480,0.009568,0.000477,0.005589,0.003365,
24576,0.012991,0.000566,0.008241,0.004029,
32768,0.021875,0.000773,0.014516,0.006386,
40960,0.033211,0.000969,0.022806,0.009207,
49152,0.046606,0.001168,0.032498,0.012689,
65536,0.080862,0.001530,0.059020,0.020009,
81920,0.123866,0.001933,0.091138,0.030424,
98304,0.178497,0.002345,0.130846,0.044851,
131072,0.312601,0.003113,0.232159,0.076764,
163840,0.480196,0.003894,0.367147,0.108474,
