N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000013,0.000000,0.000000,0.000008,
8,0.000201,0.000001,0.000000,0.000193,
10,0.000013,0.000001,0.000000,0.000009,
12,0.000014,0.000001,0.000000,0.000010,
16,0.000015,0.000001,0.000000,0.000009,
20,0.000016,0.000001,0.000000,0.000010,
24,0.000016,0.000001,0.000000,0.000011,
32,0.000032,0.000001,0.000000,0.000027,
40,0.000024,0.000006,0.000000,0.000013,
48,0.000021,0.000002,0.000000,0.000014,
64,0.000024,0.000002,0.000000,0.000016,
80,0.000036,0.000002,0.000000,0.000028,
96,0.000033,0.000003,0.000000,0.000025,
128,0.000050,0.000004,0.000000,0.000036,
160,0.000055,0.000005,0.000001,0.000044,
192,0.000054,0.000006,0.000001,0.000042,
256,0.000075,0.000008,0.000001,0.000054,
320,0.000069,0.000009,0.000001,0.000052,
384,0.000088,0.000011,0.000002,0.000064,
512,0.000118,0.000019,0.000008,0.000084,
640,0.000164,0.000020,0.000005,0.000120,
768,0.000157,0.000024,0.000009,0.000115,
1024,0.000235,0.000039,0.000015,0.000165,
1280,0.000253,0.000043,0.000019,0.000179,
1536,0.000343,0.000044,0.000024,0.000230,
2048,0.000444,0.000064,0.000043,0.000287,
2560,0.000517,0.000072,0.000063,0.000336,
3072,0.000661,0.000087,0.000097,0.000427,
4096,0.000902,0.000120,0.000170,0.000558,
5120,0.001163,0.000144,0.000275,0.000688,
6144,0.001479,0.000175,0.000386,0.000853,
8192,0.002157,0.000240,0.000698,0.001146,
10240,0.002922,0.000290,0.001080,0.001471,
12288,0.003748,0.000348,0.001540,0.001769,
16384,0.005817,0.000471,0.002761,0.002471,
20480,0.008204,0.000586,0.004311,0.003157,
24576,0.010865,0.000761,0.006158,0.003708,
32768,0.017617,0.000940,0.010989,0.005365,
40960,0.025570,0.001169,0.017203,0.006904,
49152,0.034563,0.001402,0.024529,0.008284,
65536,0.057953,0.001885,0.043747,0.011888,
81920,0.087092,0.002343,0.068250,0.016012,
98304,0.122845,0.002910,0.098680,0.020679,
131072,0.208790,0.003796,0.175488,0.028763,
163840,0.320351,0.004709,0.273984,0.040813,
