N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000007,0.000000,0.000000,0.000005,
8,0.000033,0.000001,0.000000,0.000024,
10,0.000007,-0.000000,-0.000000,0.000005,
12,0.000008,0.000001,-0.000000,0.000005,
16,0.000010,0.000001,0.000000,0.000007,
20,0.000008,0.000000,0.000000,0.000006,
24,0.000009,0.000001,-0.000000,0.000006,
32,0.000011,0.000001,0.000000,0.000008,
40,0.000012,0.000001,-0.000000,0.000007,
48,0.000012,0.000001,0.000000,0.000008,
64,0.000014,0.000002,-0.000000,0.000010,
80,0.000016,0.000002,0.000000,0.000011,
96,0.000016,0.000003,0.000001,0.000011,
128,0.000020,0.000003,0.000001,0.000014,
160,0.000073,0.000003,0.000001,0.000066,
192,0.000026,0.000005,0.000001,0.000018,
256,0.000038,0.000006,0.000001,0.000025,
320,0.000040,0.000007,0.000002,0.000028,
384,0.000045,0.000008,0.000002,0.000031,
512,0.000065,0.000011,0.000004,0.000046,
640,0.000077,0.000014,0.000005,0.000052,
768,0.000295,0.000017,0.000008,0.000264,
1024,0.000143,0.000022,0.000014,0.000081,
1280,0.000313,0.000029,0.000022,0.000217,
1536,0.000275,0.000035,0.000033,0.000166,
2048,0.000487,0.000045,0.000069,0.000283,
2560,0.000399,0.000057,0.000084,0.000232,
3072,0.000510,0.000082,0.000118,0.000279,
4096,0.000754,0.000092,0.000212,0.000416,
5120,0.001066,0.000122,0.000334,0.000572,
6144,0.001397,0.000137,0.000465,0.000752,
8192,0.002171,0.000184,0.000803,0.001132,
10240,0.003058,0.000230,0.001248,0.001518,
12288,0.004343,0.000286,0.001811,0.002177,
16384,0.007215,0.000378,0.003208,0.003471,
20480,0.010675,0.000470,0.005209,0.004857,
24576,0.014677,0.000567,0.007907,0.006043,
32768,0.025321,0.000760,0.012908,0.011458,
40960,0.037785,0.000943,0.020406,0.016199,
49152,0.053635,0.001131,0.028276,0.023973,
65536,0.094060,0.001514,0.051893,0.040329,
81920,0.144798,0.001893,0.078981,0.063551,
98304,0.209783,0.002319,0.115115,0.091912,
131072,0.363896,0.003070,0.205316,0.154945,
163840,0.563074,0.003791,0.318040,0.240539,
