N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000007,0.000001,0.000000,0.000005,
8,0.000026,0.000001,0.000000,0.000021,
10,0.000007,0.000000,0.000000,0.000006,
12,0.000007,0.000001,-0.000000,0.000005,
16,0.000009,0.000000,-0.000000,0.000006,
20,0.000008,0.000001,0.000000,0.000006,
24,0.000008,0.000000,0.000001,0.000006,
32,0.000010,0.000001,0.000000,0.000007,
40,0.000011,0.000001,0.000001,0.000008,
48,0.000011,0.000001,0.000001,0.000008,
64,0.000014,0.000002,0.000000,0.000010,
80,0.000016,0.000002,0.000000,0.000012,
96,0.000016,0.000002,0.000001,0.000012,
128,0.000022,0.000003,0.000001,0.000016,
160,0.000082,0.000004,0.000001,0.000076,
192,0.000029,0.000004,0.000003,0.000021,
256,0.000040,0.000006,0.000003,0.000029,
320,0.000048,0.000007,0.000004,0.000035,
384,0.000056,0.000009,0.000005,0.000040,
512,0.000076,0.000012,0.000009,0.000051,
640,0.000109,0.000014,0.000015,0.000062,
768,0.000119,0.000017,0.000021,0.000070,
1024,0.000167,0.000022,0.000037,0.000093,
1280,0.000223,0.000028,0.000064,0.000117,
1536,0.000269,0.000034,0.000081,0.000140,
2048,0.000415,0.000055,0.000135,0.000205,
2560,0.000588,0.000058,0.000266,0.000246,
3072,0.000730,0.000069,0.000324,0.000316,
4096,0.001177,0.000094,0.000602,0.000455,
5120,0.001530,0.000116,0.000849,0.000533,
6144,0.002107,0.000154,0.001303,0.000617,
8192,0.003253,0.000193,0.002200,0.000817,
10240,0.005162,0.000233,0.003495,0.001336,
12288,0.006772,0.000289,0.005036,0.001370,
16384,0.011728,0.000380,0.008784,0.002468,
20480,0.016624,0.000485,0.013488,0.002541,
24576,0.023677,0.000568,0.019833,0.003143,
32768,0.040545,0.000770,0.034801,0.004813,
40960,0.062407,0.000972,0.054894,0.006354,
49152,0.087823,0.001154,0.078645,0.007800,
65536,0.152842,0.001548,0.140653,0.010356,
81920,0.238633,0.001920,0.218124,0.018046,
98304,0.338651,0.002433,0.320447,0.015356,
131072,0.657052,0.003131,0.568674,0.084711,
163840,0.932097,0.003984,0.882238,0.045135,
