N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000005,0.000000,0.000000,0.000004,
8,0.000029,0.000002,-0.000000,0.000021,
10,0.000006,0.000000,-0.000000,0.000004,
12,0.000005,0.000000,-0.000000,0.000003,
16,0.000007,0.000001,0.000000,0.000005,
20,0.000011,0.000001,0.000000,0.000009,
24,0.000007,0.000001,0.000001,0.000005,
32,0.000009,0.000001,-0.000000,0.000007,
40,0.000009,0.000002,-0.000000,0.000007,
48,0.000010,0.000001,-0.000000,0.000007,
64,0.000011,0.000001,0.000001,0.000008,
80,0.000014,0.000002,0.000000,0.000010,
96,0.000014,0.000003,0.000001,0.000009,
128,0.000019,0.000003,0.000002,0.000012,
160,0.000021,0.000003,0.000002,0.000014,
192,0.000032,0.000005,0.000004,0.000022,
256,0.000051,0.000006,0.000004,0.000036,
320,0.000089,0.000009,0.000007,0.000071,
384,0.000062,0.000011,0.000011,0.000037,
512,0.000100,0.000013,0.000018,0.000055,
640,0.000114,0.000016,0.000028,0.000060,
768,0.000141,0.000019,0.000041,0.000069,
1024,0.000256,0.000027,0.000073,0.000144,
1280,0.000305,0.000043,0.000130,0.000118,
1536,0.000424,0.000051,0.000207,0.000152,
2048,0.000569,0.000054,0.000289,0.000209,
2560,0.000797,0.000066,0.000460,0.000250,
3072,0.001033,0.000069,0.000557,0.000384,
4096,0.001526,0.000123,0.001023,0.000354,
5120,0.002538,0.000131,0.001847,0.000531,
6144,0.003551,0.000172,0.002682,0.000660,
8192,0.005406,0.000225,0.004240,0.000854,
10240,0.008275,0.000287,0.006388,0.001516,
12288,0.010059,0.000289,0.008299,0.001396,
16384,0.017680,0.000429,0.015675,0.001483,
20480,0.025849,0.000532,0.022762,0.002445,
24576,0.035993,0.000588,0.032837,0.002449,
32768,0.062582,0.000782,0.058341,0.003306,
40960,0.097312,0.000980,0.091593,0.004557,
49152,0.137990,0.001140,0.133000,0.003644,
65536,0.241703,0.001546,0.231946,0.007941,
81920,0.379781,0.001912,0.361131,0.016397,
98304,0.541610,0.002374,0.528589,0.010227,
131072,0.953658,0.003159,0.931961,0.018011,
163840,1.488170,0.003880,1.463015,0.020640,
