N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000006,0.000001,-0.000000,0.000004,
8,0.000028,0.000001,-0.000000,0.000021,
10,0.000007,0.000001,0.000001,0.000005,
12,0.000005,0.000000,0.000000,0.000004,
16,0.000006,0.000000,0.000001,0.000004,
20,0.000007,0.000001,0.000000,0.000004,
24,0.000007,0.000000,-0.000000,0.000005,
32,0.000009,0.000001,0.000001,0.000006,
40,0.000009,0.000001,-0.000000,0.000007,
48,0.000009,0.000001,0.000001,0.000007,
64,0.000012,0.000002,0.000000,0.000009,
80,0.000013,0.000002,0.000001,0.000010,
96,0.000014,0.000002,0.000001,0.000009,
128,0.000021,0.000003,0.000002,0.000015,
160,0.000023,0.000004,0.000002,0.000014,
192,0.000026,0.000004,0.000004,0.000016,
256,0.000040,0.000006,0.000006,0.000023,
320,0.000045,0.000007,0.000008,0.000026,
384,0.000053,0.000009,0.000013,0.000029,
512,0.000086,0.000012,0.000025,0.000040,
640,0.000102,0.000015,0.000031,0.000049,
768,0.000222,0.000075,0.000050,0.000085,
1024,0.000290,0.000024,0.000083,0.000174,
1280,0.000260,0.000028,0.000127,0.000093,
1536,0.000344,0.000041,0.000172,0.000120,
2048,0.000594,0.000047,0.000342,0.000188,
2560,0.000806,0.000058,0.000524,0.000208,
3072,0.001052,0.000078,0.000715,0.000241,
4096,0.001767,0.000093,0.001303,0.000348,
5120,0.002667,0.000124,0.001967,0.000550,
6144,0.003535,0.000149,0.002864,0.000476,
8192,0.006214,0.000196,0.004988,0.000950,
10240,0.009867,0.000231,0.008584,0.000997,
12288,0.013126,0.000291,0.011396,0.001372,
16384,0.022471,0.000382,0.019887,0.002111,
20480,0.033545,0.000480,0.031279,0.001686,
24576,0.047992,0.000596,0.044690,0.002556,
32768,0.083815,0.000792,0.080310,0.002564,
40960,0.131136,0.000972,0.125979,0.004004,
49152,0.186274,0.001170,0.181119,0.003780,
65536,0.328867,0.001544,0.320603,0.006455,
81920,0.508151,0.001931,0.493664,0.012225,
98304,0.728108,0.002410,0.717008,0.008300,
131072,1.295925,0.003098,1.271847,0.020479,
163840,2.013209,0.003954,1.991211,0.017403,
