N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000023,0.000001,0,0.000019
8,0.000039,0.000001,0,0.000027
10,0.000013,0.000001,0,0.000008
12,0.000021,0.000005,0,0.000012
16,0.000015,0.000001,0,0.00001
20,0.000016,0.000001,0,0.00001
24,0.000015,0.000001,0,0.00001
32,0.000022,0.000001,0,0.000012
40,0.000022,0.000001,0,0.000016
48,0.000028,0.000002,0,0.000018
64,0.000027,0.000002,0,0.000016
80,0.000025,0.000002,0,0.000018
96,0.000026,0.000003,0,0.000018
128,0.000046,0.000008,0,0.000028
160,0.000045,0.000005,0.000001,0.000034
192,0.000051,0.000006,0.000001,0.00004
256,0.000063,0.000007,0.000001,0.000045
320,0.000072,0.000009,0.000001,0.000056
384,0.000092,0.000011,0.000002,0.000068
512,0.000109,0.000015,0.000004,0.000084
640,0.000176,0.00003,0.000009,0.000127
768,0.000152,0.000027,0.000007,0.000109
1024,0.000229,0.00004,0.000022,0.000156
1280,0.00026,0.000042,0.00002,0.000187
1536,0.000313,0.000044,0.000024,0.000199
2048,0.000472,0.000063,0.000049,0.000295
2560,0.000549,0.000074,0.00007,0.000357
3072,0.000668,0.000088,0.000103,0.000427
4096,0.000982,0.000118,0.000185,0.000624
5120,0.00122,0.000146,0.000285,0.00073
6144,0.001544,0.000174,0.000412,0.000896
8192,0.002253,0.000236,0.000729,0.001215
10240,0.003074,0.000292,0.001135,0.001568
12288,0.003977,0.000349,0.001637,0.001902
16384,0.006176,0.000477,0.002915,0.002659
20480,0.008685,0.000584,0.004474,0.003394
24576,0.011589,0.000714,0.006422,0.004227
32768,0.018807,0.000943,0.011537,0.006066
40960,0.027342,0.001182,0.017919,0.007941
49152,0.037883,0.001403,0.025727,0.010414
65536,0.063022,0.001881,0.0462,0.014532
81920,0.09437,0.002347,0.071504,0.020024
98304,0.133007,0.002928,0.103657,0.025858
131072,0.22948,0.00376,0.184707,0.040334
163840,0.348242,0.00475,0.289366,0.053289
