N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000018,0.000000,0.000000,0.000014,
8,0.000049,0.000001,0.000000,0.000036,
10,0.000016,0.000001,0.000000,0.000012,
12,0.000016,0.000001,0.000000,0.000012,
16,0.000015,0.000001,0.000000,0.000010,
20,0.000020,0.000001,0.000000,0.000010,
24,0.000016,0.000001,0.000000,0.000011,
32,0.000024,0.000006,0.000000,0.000013,
40,0.000026,0.000001,0.000000,0.000020,
48,0.000022,0.000002,0.000000,0.000016,
64,0.000024,0.000002,0.000000,0.000016,
80,0.000027,0.000003,0.000000,0.000020,
96,0.000046,0.000003,0.000000,0.000038,
128,0.000037,0.000004,0.000001,0.000028,
160,0.000047,0.000009,0.000001,0.000028,
192,0.000052,0.000006,0.000001,0.000041,
256,0.000074,0.000011,0.000001,0.000052,
320,0.000084,0.000010,0.000001,0.000067,
384,0.000104,0.000020,0.000002,0.000076,
512,0.000118,0.000019,0.000003,0.000088,
640,0.000153,0.000020,0.000005,0.000116,
768,0.000160,0.000024,0.000007,0.000118,
1024,0.000226,0.000041,0.000024,0.000150,
1280,0.000308,0.000037,0.000020,0.000200,
1536,0.000325,0.000044,0.000025,0.000216,
2048,0.000458,0.000066,0.000049,0.000305,
2560,0.000571,0.000075,0.000073,0.000377,
3072,0.000696,0.000090,0.000105,0.000451,
4096,0.000979,0.000118,0.000195,0.000612,
5120,0.001288,0.000151,0.000301,0.000782,
6144,0.001616,0.000180,0.000434,0.000942,
8192,0.002411,0.000237,0.000798,0.001300,
10240,0.003236,0.000298,0.001206,0.001649,
12288,0.004235,0.000356,0.001736,0.002053,
16384,0.006551,0.000483,0.003059,0.002895,
20480,0.009288,0.000595,0.004771,0.003694,
24576,0.012482,0.000719,0.006901,0.004632,
32768,0.020133,0.000971,0.012274,0.006630,
40960,0.029595,0.001200,0.019268,0.008747,
49152,0.040322,0.001446,0.027573,0.010923,
65536,0.067952,0.001923,0.049240,0.016386,
81920,0.102202,0.002431,0.076589,0.022711,
98304,0.143458,0.002971,0.110494,0.029441,
131072,0.246516,0.003873,0.195499,0.046445,
163840,0.377498,0.004919,0.306596,0.065146,
