N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000013,0.000002,0.000001,0.000004
8,0.000039,0.000003,0.000001,0.000027
10,0.000018,0.000002,0.000002,0.000008
12,0.000013,0.000002,0.000002,0.000004
16,0.000017,0.000002,0.000002,0.000006
20,0.000014,0.000002,0.000002,0.000004
24,0.000014,0.000002,0.000002,0.000005
32,0.000015,0.000002,0.000002,0.000006
40,0.000016,0.000002,0.000002,0.000006
48,0.000015,0.000003,0.000002,0.000005
64,0.000018,0.000002,0.000003,0.000007
80,0.00003,0.000003,0.000003,0.000016
96,0.000023,0.000003,0.000004,0.000011
128,0.000032,0.000003,0.000007,0.00001
160,0.000046,0.000004,0.00001,0.000025
192,0.000035,0.000005,0.000012,0.000013
256,0.000095,0.000007,0.00002,0.000027
320,0.000069,0.000006,0.000033,0.00002
384,0.000085,0.000009,0.000041,0.000028
512,0.000212,0.000011,0.000078,0.000116
640,0.000419,0.000012,0.000114,0.000065
768,0.000327,0.000018,0.000142,0.000159
1024,0.000412,0.000019,0.000258,0.000126
1280,0.000593,0.000024,0.000399,0.00016
1536,0.000966,0.000025,0.000673,0.000255
2048,0.001332,0.000039,0.000862,0.000417
2560,0.002186,0.000045,0.001685,0.000443
3072,0.003313,0.00005,0.00249,0.000755
4096,0.005484,0.000073,0.004596,0.000785
5120,0.007806,0.000108,0.007312,0.000359
6144,0.010745,0.000104,0.009974,0.000641
8192,0.020565,0.000145,0.018216,0.002158
10240,0.028945,0.000177,0.026508,0.002226
12288,0.040888,0.000206,0.035001,0.005634
16384,0.071227,0.000263,0.069809,0.001086
20480,0.103647,0.000402,0.102215,0.000909
24576,0.155342,0.000382,0.153763,0.00113
32768,0.284308,0.000504,0.273368,0.010332
40960,0.442092,0.000625,0.437822,0.00351
49152,0.626985,0.00082,0.606105,0.019926
65536,1.146386,0.00146,1.122165,0.022518
81920,1.681291,0.001591,1.661353,0.018057
98304,2.450752,0.001722,2.443068,0.005564
131072,4.366538,0.002097,4.283134,0.080788
163840,6.838922,0.003371,6.784054,0.050881
